Date/Time,Cogeneration:ElectricitySurplusSold [J](Hourly),Cogeneration:ElectricityPurchased [J](Hourly),Photovoltaic:ElectricityProduced [J](Hourly) 
 01/06  10:00:00,224850.03764278,1427598.42429068,7665638.21854077 
 01/06  11:00:00,3678131.79879161,0.0,10164803.2228788 
 01/06  12:00:00,7501956.18935262,0.0,12836162.5071613 
 01/06  13:00:00,7696827.45539739,0.0,12740785.7166491 
 01/06  14:00:00,7616994.9555436,0.0,12434649.6929413 
 01/06  15:00:00,5103875.26119994,0.0,10507291.6608717 
 01/06  16:00:00,1918095.91037005,0.0,8128147.65889704 
 01/06  17:00:00,0.0,2757824.87319362,4496839.71045199 
 01/06  18:00:00,0.0,7444056.94730609,323956.915945192 
 01/06  19:00:00,0.0,8414239.92864771,0.0 
 01/06  20:00:00,0.0,8140496.76688785,0.0 
 01/06  21:00:00,0.0,7680805.15409149,0.0 
 01/06  22:00:00,0.0,6951913.29215905,0.0 
 01/06  23:00:00,0.0,5561020.32343275,0.0 
 01/06  24:00:00,0.0,4840477.12118261,0.0 
 01/07  01:00:00,0.0,5839377.33811038,0.0 
 01/07  02:00:00,0.0,6691427.72121976,0.0 
 01/07  03:00:00,0.0,7559390.14560813,0.0 
 01/07  04:00:00,0.0,8420818.09189183,0.0 
 01/07  05:00:00,0.0,9710384.94330377,0.0 
 01/07  06:00:00,0.0,11214808.6005128,0.0 
 01/07  07:00:00,0.0,13036451.8048957,0.0 
 01/07  08:00:00,0.0,13421092.9459739,457868.148351838 
 01/07  09:00:00,0.0,7982865.34778734,3448346.34961775 
 01/07  10:00:00,0.0,2867464.57002484,6124307.01698661 
 01/07  11:00:00,2020248.64073725,0.0,8580075.54576277 
 01/07  12:00:00,3637170.27159413,0.0,9382976.63179853 
 01/07  13:00:00,7148994.78390066,0.0,12557384.8227237 
 01/07  14:00:00,4639641.5313402,0.0,9911846.33764806 
 01/07  15:00:00,2609881.66481881,0.0,8371434.01110357 
 01/07  16:00:00,1285977.92662765,0.0,8344356.01210331 
 01/07  17:00:00,0.0,3567439.36729948,4765130.02195224 
 01/07  18:00:00,0.0,8266842.71289787,453720.385176349 
 01/07  19:00:00,0.0,9391016.62660744,0.0 
 01/07  20:00:00,0.0,9175125.27751679,0.0 
 01/07  21:00:00,0.0,8622615.20398844,0.0 
 01/07  22:00:00,0.0,7462001.68444791,0.0 
 01/07  23:00:00,0.0,5827858.10807711,0.0 
 01/07  24:00:00,0.0,4435184.71987942,0.0 
 01/08  01:00:00,0.0,3315135.96255288,0.0 
 01/08  02:00:00,0.0,3873151.04655829,0.0 
 01/08  03:00:00,0.0,4626325.67431982,0.0 
 01/08  04:00:00,0.0,5714891.91442417,0.0 
 01/08  05:00:00,0.0,7089073.64216792,0.0 
 01/08  06:00:00,0.0,8835780.69166583,0.0 
 01/08  07:00:00,0.0,10852844.7383777,0.0 
 01/08  08:00:00,0.0,11085228.8561765,506476.875954954 
 01/08  09:00:00,0.0,3673041.36702261,4322874.23126264 
 01/08  10:00:00,1972894.82263338,0.0,8309559.86156456 
 01/08  11:00:00,5093682.85395699,0.0,11147088.9656601 
 01/08  12:00:00,6988047.6614095,0.0,13179938.3882877 
 01/08  13:00:00,7026275.34945556,0.0,13761162.7039137 
 01/08  14:00:00,5718289.27195801,0.0,12900420.6601562 
 01/08  15:00:00,3644983.12726643,0.0,11619843.6731444 
 01/08  16:00:00,408571.204645098,465436.325834361,8784665.23826568 
 01/08  17:00:00,0.0,4956889.6170113,4971080.8934829 
 01/08  18:00:00,0.0,9494622.29935099,488564.192135423 
 01/08  19:00:00,0.0,10438650.1440061,0.0 
 01/08  20:00:00,0.0,10178098.4951151,0.0 
 01/08  21:00:00,0.0,9304699.69111246,0.0 
 01/08  22:00:00,0.0,8025573.71319549,0.0 
 01/08  23:00:00,0.0,6039648.42662855,0.0 
 01/08  24:00:00,0.0,4433626.73918182,0.0 
 01/09  01:00:00,0.0,3246346.06388476,0.0 
 01/09  02:00:00,0.0,2898516.78514655,0.0 
 01/09  03:00:00,0.0,3360324.16012479,0.0 
 01/09  04:00:00,0.0,4558351.90734825,0.0 
 01/09  05:00:00,0.0,5849972.88846517,0.0 
 01/09  06:00:00,0.0,6827062.23086905,0.0 
 01/09  07:00:00,0.0,8588577.20144742,0.0 
 01/09  08:00:00,0.0,9286121.54064973,356846.358717143 
 01/09  09:00:00,0.0,5082399.95557823,2779237.67472547 
 01/09  10:00:00,649692.164688164,315318.492360859,6286194.48624119 
 01/09  11:00:00,3691008.93888933,0.0,9296948.7417909 
 01/09  12:00:00,4101641.22302917,0.0,9433514.20648782 
 01/09  13:00:00,3088483.93515082,0.0,8224558.45797107 
 01/09  14:00:00,2548133.87387193,0.0,8095828.94400366 
 01/09  15:00:00,1614509.93376918,0.0,7449688.22902502 
 01/09  16:00:00,0.0,776684.091560339,5557163.4241635 
 01/09  17:00:00,0.0,3621504.33527652,4096839.50433371 
 01/09  18:00:00,0.0,7893744.3515894,413573.935404138 
 01/09  19:00:00,0.0,9000366.66084818,0.0 
 01/09  20:00:00,0.0,8798853.0668062,0.0 
 01/09  21:00:00,0.0,8227229.83940566,0.0 
 01/09  22:00:00,0.0,7161109.328561,0.0 
 01/09  23:00:00,0.0,5558159.96244128,0.0 
 01/09  24:00:00,0.0,4275803.21193987,0.0 
 01/10  01:00:00,0.0,3246836.61754893,0.0 
 01/10  02:00:00,0.0,2897769.84415022,0.0 
 01/10  03:00:00,0.0,2873284.26199844,0.0 
 01/10  04:00:00,0.0,3584387.65636486,0.0 
 01/10  05:00:00,0.0,4868641.0104449,0.0 
 01/10  06:00:00,0.0,6273573.32180887,0.0 
 01/10  07:00:00,0.0,7847040.81701755,0.0 
 01/10  08:00:00,0.0,8817762.28107542,56240.1053453675 
 01/10  09:00:00,0.0,8229071.75796731,604872.898574647 
 01/10  10:00:00,0.0,5335148.1089492,2257147.46560925 
